name,category,ingredients,instructions,rating
Torta Chilena,postre,"1 1/2 taza de azúcar polvorizada, 6 tazas de harina, 2 barras de mantequilla, 1 pizca de sal, 3 latas de dulce de leche, 2 huevos grandes","1.Mezclar la harina, el azúcar en polvo, la sal. Agregar la mantequilla hasta que se forme una masa arenosa. Agregar el huevo y mezclar hasta tener una masa que no este ni seca ni pegajosa, 2.Dividir la masa en 6 bolitas del mismo tamaño y extender la masa hasta que quede un disco delgado. Pincharlo con un tenedor, 3. Hornear los discos a 350F por 12 minutos o hasta que estén dorados, 4.Dejar reposar los discos e ir armando la tarta poniendo entre cada disco dulce de leche y al final en su alrededor, 5.Decorar con pedacitos de masa quebrada alrededor de la torta ",10
Pie de limón,postre,"1 1/2 taza de galletas de tipo María, 1/2 taza de almendras tostadas, 1 barra de mantequilla derretida, 1 lata de leche condensada,  3/4 taza de jugo de limón, 4 yemas de huevo","1.En un procesador de alimentos, triturar las galletas con las almendras. Verter la mezcla en un molde de 8” de diámetro, agregar la mantequilla derretida y combinar. Presionar la mezcla con una taza al fondo del molde y hacia los bordes, 2.Hornear la corteza por 8 minutos a 170 °C. Retirar del horno y dejar el horno encendido, 3.En un tazón, mezclar la leche Condensada, el jugo de limón y las yemas de huevo hasta obtener una mezcla uniforme, 4.Verter el relleno en la costra y hornear de 18-21 minutos a 180 °C, 5.Retirar del horno y dejar reposar al menos 1 hora antes de decorar o también dejar en al refrigeradora toda la noche antes de decorar y servir, 6.Batir las claras restantes a punto de nieve, añadir 4 cucharadas de azúcar, 1 cucharada de esencia de vainilla y batir por 1 minuto más. Colocar dentro de una manga pastelera y decorar el pie al gusto",9
Tortilla aliñada,merienda,"1/2 taza de harina de maíz, 1/2 taza de agua, 1/3 de queso blanco rallado, Sal al gusto","1.En un envase mezclar la harina, la sal y el agua y amasar bien.,2.Agregar el queso y seguir amasando, hasta obtener una mezcla homogénea, suave al tacto, 3.Hacer bolitas y aplastar, palmeando o con la ayuda de un plato, 4.Colocar sobre un sartén engrasado y caliente, 5.Dorar por ambos lados.",9
Pancakes,desayuno,"200g de harina, 300g de leche, 2 huevos, 40g de mantequilla derretida, 30g de azúcar, 2g de polvo de hornear, 2g de sal","1.Bate bien en un bol los huevos y añade la leche sin dejar de batir. Agrega el resto de los ingredientes y sigue aplicando las varillas hasta obtener una crema homogénea. Deja reposar 15 minutos, 2. Calienta una sartén al fuego y engrásala con uno poco de mantequilla. Solo tendrás que hacerlo con el primer pancake., Cuando haya cogido temperatura (sin humear, no hay que pasarse) vierte en el centro medio cucharón de masa (o directamente con una jarra si te resulta más sencillo). Ella sola formará un disco que empezará a solidificarse con el calor. Procura que la sartén esté siempre caliente, pero no al máximo: al 7 o 7,5 en una escala de nueve llega para mantener la temperatura, 3.En un minuto o minuto y medio verás que la superficie se llena de burbujas, 4.Levanta un poco por un lado con una espátula y comprueba que el pancake se haya dorado bien. Dale la vuelta y aguarda otro minuto. Dale la vuelta a con la ayuda de una espatula",8
Ensalada Caesar,almuerzo,"1 lechuga romana, 1 pechuga de pollo a la plancha, 1 taza de crutones, 1/4 taza de queso parmesano rallado, 1/2 taza de aderezo César","1.Lavar y cortar la lechuga en trozos medianos, 2.Cortar la pechuga de pollo en tiras o cubos, 3.En un tazón grande, mezclar la lechuga, el pollo, los crutones y el queso parmesano, 4.Agregar el aderezo César y mezclar bien para que todos los ingredientes queden cubiertos, 5.Servir inmediatamente.",9
Spaghetti Carbonara,cena,"200g de espaguetis, 100g de panceta o tocino, 2 huevos, 50g de queso parmesano rallado, 1 diente de ajo, Sal y pimienta al gusto","1.Cocina los espaguetis en agua con sal según las instrucciones del paquete hasta que estén al dente. Escúrrelos y reserva, 2.En una sartén grande, cocina la panceta o tocino cortado en trozos pequeños hasta que esté crujiente. Agrega el diente de ajo picado y cocina por un minuto más. Retira el ajo, 3.En un bol, bate los huevos y mezcla con el queso parmesano rallado. Agrega sal y pimienta al gusto, 4.Agrega los espaguetis calientes a la sartén con la panceta y mezcla bien, 5.Retira la sartén del fuego y agrega la mezcla de huevo y queso, revolviendo rápidamente para que el calor de los espaguetis cocine los huevos sin que se conviertan en revuelto, 6.Sirve inmediatamente con un poco más de queso parmesano rallado por encima.", 10
Waffles,desayuno,"2 tazas de harina, 2 cucharadas de azúcar, 1 cucharada de polvo de hornear, 1/2 cucharadita de sal, 2 huevos, 1 3/4 tazas de leche, 1/2 taza de mantequilla derretida, 1 cucharadita de extracto de vainilla","1.En un bol grande, mezcla la harina, el azúcar, el polvo de hornear y la sal, 2.En otro bol, bate los huevos y luego agrega la leche, la mantequilla derretida y el extracto de vainilla. Mezcla bien, 3.Vierte los ingredientes húmedos en los ingredientes secos y mezcla hasta que estén combinados. No mezcles demasiado; está bien si hay algunos grumos, 4.Precalienta la waflera según las instrucciones del fabricante, 5.Vierte la cantidad adecuada de masa en la waflera caliente y cocina hasta que estén doradas y crujientes, 6.Sirve con tus toppings favoritos como frutas frescas, jarabe de arce o crema batida.",8
Quesadillas,almuerzo,"1 taza de harina de maíz, 1/4 cucharadita de agua tibia, aceite para freir, 1 taza de queso rallado, 1 1/2 tazas de lechuga, 1/2 taza de queso en polvo, Salsa de tomate roja, 3/4 taza de crema dulce","1.En un tazón; combina la harina de maíz y la sal. Agrega el agua tibia, mezcla hasta que comience a formarse una masa. Amasa hasta que tenga una textura suave y húmeda, la masa no debe pegarse al tazón ni a las manos. Divide la masa en 6 bolitas. Cubre la masa con una toalla húmeda y déjala reposar por 15 minutos, 2.Coloca una bola de masa entre dos hojas de plástico o papel pergamino. Con un plato redondo, aplana la masa presionando hacia abajo lo más uniformemente posible, 3.Rellena cada tortilla con 3 cucharadas de Queso Chihuahua®. Dobla la quesadilla y pellizca alrededor de los bordes de la masa para que selle. Repite los pasos con el resto de los ingredientes. Coloca las quesadillas en una charola o plato forrado con papel encerado hasta que estés lista para freírlas, 4.Calienta el aceite para freír en un sartén grande a fuego medio de 5-7 minutos o hasta que el aceite alcance una temperatura 350 grados, 5.Fríe 2 quesadillas a la vez de 1- 2 minutos de cada lado o hasta que las quesadillas estén ligeramente doradas y crujientes. Escurre en papel absorbente, 6.Sirve con lechuga, queso y salsa",7
Alfajores,postre,"1 3/4 taza de harina, 1/2 taza de maicena, 1/2 taza de azúcar en polvo, 1/4 cucharadita de sal. 1 taza de mantequilla sin sal, a temperatura ambiente, 2 cucharaditas de extracto de vainilla, 1 yema de huevo, 1 lata de dulce de leche]","1.Agrega la mantequilla, la vainilla en un recipiente mediano y bate hasta que quede suave durante unos 2 minutos. Luego, agrega la yema de huevo y mezcla hasta incorporar bien, 2.En un recipiente aparte, mezcla todos los ingredientes secos restantes, 3.Agrega todos los ingredientes secos e incorporando a la mantequilla, vainilla, huevo lentamente. Mezclando todos los ingredientes secos y húmedos alrededor de 1 a 2 minutos, 4.Retira la masa del tazón, forma una bola redonda y envuélvela bien en plástico para que descanse en el refrigerador por un mínimo de 1 hora,permitiendo que la masa se endurezca para que se pueda enrollar, 5.Una vez listas para hornear, saque las galletas del refrigerador y déjelas reposar a temperatura ambiente durante unos 20 minutos. Precalienta el horno a 350° F, 6.En una superficie ligeramente enharinada, con un rodillo de amasar, enrolle la masa hasta aproximadamente 1/4 de pulgada de grosor y córtela con un cortador de galletas redondo de 3 o 2 pulgadas de su elección, 7.Con cuidado, transfiere la masa cortada a una bandeja para hornear forrada con papel pergamino a una distancia de 1.5 a 2 pulgadas entre sí y repita hasta que se use toda la masa, 8.Hornea por 13-15 minutos, quiere que estén firmes al tacto. Ten cuidado de no cocinar demasiado las galletas, 9.Una vez formados retíralos del horno y déjalos enfriar completamente antes de llenarlos, 10.Unta el dulce de leche sobre una de las galletas, 11.Arma las galletas poniendo una sobre otra",5
Focaccia,cena,"400 gr de harina 000, 30 gr de levadura de cerveza, 250 ml de agua tibia, 1 cdita de sal, 1 cdita de azúcar, Aceite de oliva, Sal gruesa","1.Disolver la levadura en el agua con el azúcar. Aparte, en un bol, mezclar el harina con la sal, 2.Agregar a la mezcla de harina el agua con la levadura y formar una masa. A tener en cuenta: va a ser una masa más blanda que la de la pizza. Al principio va a quedar más pegajosa pero si se sigue amasando, con paciencia, va a quedar uniforme, 3.Dejar leudar en un lugar cálido por una hora aproximadamente, o hasta que doble su tamaño, 4.Aceitar las manos y estirar la masa distribuyéndola en una placa para horno aceitada. Con los dedos hacer agujeros en la superficie de la masa, sin llegar a atravesar la focaccia, 5.Esparcir un poco de sal gruesa y las hierbas. También se le pueden agregar aceitunas en rodajas y tomate fresco o seco hidratado. Dejar leudar un rato más., 6. Hornear en horno precalentado a 250° por 10 minutos, pincelar la superficie por una mezcla de aceite de oliva y agua y hornear por 5 minutos más.",10